"","GSM909136","GSM909137","GSM909138","GSM909139","GSM909140","GSM909141","GSM909142","GSM909143","GSM909144","GSM909145","GSM909146","GSM909147","GSM909148","GSM909149","GSM909150"
"LINC00899",2.27388935053333,2.27511996313333,2.27457805186667,2.27506497866667,2.2756808464,2.27554185866667,2.27536729326667,2.27536729326667,2.27556467433333,2.2750374,2.27598891566667,2.27359750406667,2.27459090126667,2.30242300086667,2.27484360553333
"LINC00896",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00889",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00883",2.273522111,2.27441111806667,2.273934222,2.27427637046667,2.30511281886667,2.27484360553333,2.27468543693333,2.27449334353333,2.27485189166667,2.28093825906667,2.27487408493333,2.2734067904,2.27398906566667,2.27779262206667,2.2741042742
"LINC00879",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00852",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00851",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.421283787,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00847",3.89166200473333,3.8460909086,3.87105616753333,3.60417659073333,4.10146907553333,4.42065073986667,4.07057614373333,4.68765955566667,3.5595154066,3.5642048366,3.87980044933333,3.82925437953333,3.60010161173333,3.87631365866667,3.73722463413333
"LINC00839",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00710",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00705",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00698",2.27327344,2.27327344,2.27327344,2.28019616553333,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2785102776,2.27327344,2.27327344
"LINC00691",2.48169442173333,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2869941124,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00689",2.2967428548,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00687",2.30345416653333,2.310165141,2.3072996394,2.31124689433333,2.31310883133333,2.309226095,2.30917063933333,2.3110027596,2.30885358973333,2.30940025213333,2.3149251814,2.29863216266667,2.3073738644,2.31381421326667,2.30986544426667
"LINC00671",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00669",2.27327344,2.27327344,2.28369488973333,2.27327344,2.2894871482,2.27327344,2.27327344,2.27327344,2.30430469073333,2.71166767746667,2.27327344,3.02732831466667,2.55954937,2.27327344,2.2825662286
"LINC00667",3.82798642393333,3.74729581026667,3.75927463666667,4.24830387246667,3.7602783472,3.9980256366,4.0996001468,3.74664015386667,3.84239842106667,3.82974780306667,3.78906534666667,4.00161459286667,3.61111284593333,3.7964119502,4.140201712
"LINC00663",3.92173856646667,4.06763006633333,3.9040859182,3.8894445286,3.93493476146667,3.90835081706667,3.88505900993333,3.88618032886667,3.94884268086667,3.93493476146667,3.91872831246667,4.239018237,3.87913741,3.9062581788,3.92599190406667
"LINC00662",2.30605110653333,2.2855989572,2.28444697673333,2.2855989572,2.28693282473333,2.2856266346,2.28539785653333,2.28515490126667,2.28502824993333,2.28491580113333,2.3399128152,2.28027656386667,2.2837590604,2.28723490213333,2.28507165466667
"LINC00661",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00657",10.172764248,9.8965428922,10.1446104326667,10.249728124,10.1635867193333,10.2557114473333,10.110731066,9.94154918886667,10.4169296206667,10.7155410033333,10.40006385,10.2743995573333,10.4525962926667,10.6313636753333,10.4283136726667
"LINC00643",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.35731934,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00638",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.28464288206667,2.27327344
"LINC00636",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00635",2.27561286666667,2.2778477018,2.277027716,2.27781042553333,2.2787560134,2.275669279,2.62532359326667,2.35400101693333,2.27791673406667,2.2775232248,2.27928987913333,2.27510213133333,2.27689978373333,2.27903532013333,2.27743047733333
"LINC00632",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
"LINC00628",2.96751750953333,2.9369114316,2.95399036406667,2.94408124253333,2.9747549656,3.12754571546667,3.05288251806667,2.93256123233333,2.973878327,2.9662689094,2.95867148793333,2.90163508286667,2.9076901008,2.95578813233333,2.94754161253333
"LINC00626",2.2749759122,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.2749931794,2.27327344,2.27333293453333,2.27327344,2.27327344
"LINC00620",2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344,2.27327344
